idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15;;;
;;;
11000,A Furlong Too Late,Ordinary Drink,Alcoholic,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Light rum,Ginger beer,Lemon peel,,,,,,,,,,,;;;
;;;
"11001,A Night In Old Mandalay,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."",http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,,,,,";;;
;;;
"11002,A. J.,Ordinary Drink,Alcoholic,""Shake ingredients with ice, strain into a cocktail glass, and serve."",http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Applejack,Grapefruit juice,,,,,,,,,,,,";;;
;;;
11003,Abbey Cocktail,Ordinary Drink,Alcoholic,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Gin,Orange bitters,Orange,Cherry,,,,,,,,,,;;;
;;;
11004,Abilene,Ordinary Drink,Alcoholic,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,;;;
;;;
11005,Acapulco,Ordinary Drink,Alcoholic,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,;;;
;;;
"11006,Adam,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Dark rum,Lemon juice,Grenadine,,,,,,,,,,,";;;
;;;
"11007,Adonis Cocktail,Ordinary Drink,Alcoholic,""Stir all ingredients with ice, strain contents into a cocktail glass, and serve."",http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Sweet Vermouth,Sherry,Orange bitters,,,,,,,,,,,";;;
;;;
